resource_id,role
86204,role_0
86205,role_0
86206,role_0
86207,role_0
86208,role_0
86210,role_0
86211,role_0
86212,role_0
86213,role_0
86214,role_0
86215,role_0
86216,role_0
86218,role_0
86219,role_0
86220,role_0
86221,role_0
86222,role_0
86223,role_0
86224,role_0
86225,role_0
86226,role_0
86227,role_0
86228,role_0
86230,role_0
86231,role_0
86232,role_0
86234,role_0
86235,role_0
86236,role_0
86237,role_0
86239,role_0
86240,role_0
86241,role_0
86242,role_0
86243,role_0
86244,role_0
86245,role_0
86246,role_0
86247,role_0
86249,role_0
86251,role_0
86252,role_0
86253,role_0
86254,role_0
86255,role_0
86256,role_0
86257,role_0
86258,role_0
86259,role_0
86260,role_0
86261,role_0
86262,role_0
86263,role_0
86264,role_0
86265,role_0
86266,role_0
86267,role_0
86268,role_0
86269,role_0
86270,role_0
86272,role_3
86273,role_0
86274,role_0
86275,role_0
86276,role_0
86277,role_0
86279,role_0
86280,role_0
86281,role_0
86282,role_0
86283,role_0
86284,role_0
86285,role_0
86288,role_0
86289,role_0
86291,role_0
86292,role_0
86293,role_0
86294,role_0
86295,role_0
86296,role_0
86297,role_0
86298,role_0
86300,role_0
86301,role_0
86304,role_0
86307,role_0
86308,role_0
86309,role_0
86310,role_0
86312,role_0
86313,role_0
86314,role_0
86316,role_0
86317,role_1
86318,role_0
86319,role_3
86320,role_0
86321,role_0
86322,role_0
86324,role_3
86325,role_0
86326,role_0
86327,role_0
86328,role_0
86329,role_0
86330,role_0
86331,role_0
86332,role_0
86333,role_0
86334,role_3
86335,role_0
86338,role_0
86339,role_0
86340,role_0
86341,role_0
86342,role_0
86343,role_0
86346,role_0
86347,role_0
86348,role_0
86350,role_0
86351,role_0
86352,role_0
86353,role_0
86354,role_0
86355,role_0
86358,role_0
86360,role_0
86362,role_0
86363,role_0
86364,role_0
86365,role_0
86366,role_0
86367,role_0
86369,role_0
86370,role_0
86371,role_0
86372,role_0
86374,role_0
86376,role_0
86377,role_0
86378,role_0
86379,role_0
86380,role_0
86381,role_0
86382,role_0
86384,role_0
86385,role_0
86388,role_0
86389,role_0
86390,role_0
86391,role_0
86392,role_0
86393,role_0
86394,role_0
86395,role_0
86398,role_0
86399,role_0
86400,role_0
86401,role_0
86405,role_0
86406,role_0
86408,role_0
86409,role_0
86410,role_0
86411,role_0
86412,role_0
86415,role_0
86416,role_0
86417,role_0
86418,role_0
86419,role_0
86420,role_0
86421,role_0
86422,role_0
86423,role_0
86424,role_0
86425,role_0
86426,role_0
86427,role_0
86428,role_0
86429,role_3
86430,role_0
86431,role_0
86432,role_0
86433,role_0
86435,role_0
86436,role_0
86437,role_0
86438,role_0
86440,role_0
86441,role_0
86442,role_0
86443,role_0
